depth_nm,total_p_cm3,active_p_cm3,inactive_p_cm3
9.737550354003910513e+01,8.134400327542643712e+18,8.134400327542643712e+18,0.000000000000000000e+00
1.034427032470699999e+02,7.013186539257593856e+18,7.013186539257593856e+18,0.000000000000000000e+00
1.063999999999999915e+02,6.500491799836102656e+18,6.500491799836102656e+18,0.000000000000000000e+00
1.095098953247070028e+02,6.001721053854825472e+18,6.001721053854825472e+18,0.000000000000000000e+00
1.155770950317379970e+02,5.357634838885022720e+18,5.357634838885022720e+18,0.000000000000000000e+00
1.165999999999999943e+02,5.211395917265896448e+18,5.211395917265896448e+18,0.000000000000000000e+00
1.216442947387700002e+02,4.546571840318852096e+18,4.546571840318852096e+18,0.000000000000000000e+00
1.267000000000000028e+02,4.230259926707902464e+18,4.230259926707902464e+18,0.000000000000000000e+00
1.277114868164059942e+02,4.169668325288193024e+18,4.169668325288193024e+18,0.000000000000000000e+00
1.337787017822269888e+02,3.544680902170762752e+18,3.544680902170762752e+18,0.000000000000000000e+00
1.373000000000000114e+02,3.469339695798114304e+18,3.469339695798114304e+18,0.000000000000000000e+00
1.398459014892580115e+02,3.415867342540775424e+18,3.415867342540775424e+18,0.000000000000000000e+00
1.459130859375000000e+02,2.991261240661115904e+18,2.991261240661115904e+18,0.000000000000000000e+00
1.477999999999999829e+02,2.879909192128132096e+18,2.879909192128132096e+18,0.000000000000000000e+00
1.519802703857419885e+02,2.647761438638075392e+18,2.647761438638075392e+18,0.000000000000000000e+00
1.580474700927730112e+02,2.313804023154612224e+18,2.313804023154612224e+18,0.000000000000000000e+00
1.582999999999999829e+02,2.305959656037243392e+18,2.305959656037243392e+18,0.000000000000000000e+00
1.641146697998050001e+02,2.132514072065733888e+18,2.132514072065733888e+18,0.000000000000000000e+00
1.693000000000000114e+02,1.835276759497031424e+18,1.835276759497031424e+18,0.000000000000000000e+00
1.701818695068359943e+02,1.789017706016535040e+18,1.789017706016535040e+18,0.000000000000000000e+00
1.762490692138669885e+02,1.631582621764945664e+18,1.631582621764945664e+18,0.000000000000000000e+00
1.806999999999999886e+02,1.585850463396241664e+18,1.585850463396241664e+18,0.000000000000000000e+00
1.823162689208980112e+02,1.569562881693839872e+18,1.473228336260360704e+18,9.633454543347916800e+16
1.883834686279300001e+02,1.307171990867536384e+18,1.007885170970629504e+18,2.992868198969068800e+17
1.933000000000000114e+02,1.142284714970592896e+18,7.410000000000003840e+17,4.012847149705925120e+17
1.944506530761719887e+02,1.106800908831823104e+18,6.780278930078103040e+17,4.287730158240128000e+17
2.005178680419919885e+02,9.159719384577472000e+17,4.244929933542579840e+17,4.914789451034892160e+17
2.065850524902340055e+02,8.921185834489592320e+17,2.657629984084430400e+17,6.263555850405162240e+17
2.088000000000000114e+02,8.231271291183338240e+17,2.240000000000001920e+17,5.991271291183336960e+17
2.126522521972659945e+02,7.156023682505121280e+17,1.817457393319645120e+17,5.338566289185475840e+17
2.187194519042969887e+02,4.532139513253722880e+17,1.307621591386694080e+17,3.224517921867028480e+17
2.247866363525390057e+02,4.532139513253722880e+17,9.408064520899787200e+16,3.591333061163744000e+17
2.275000000000000000e+02,4.532139513253722880e+17,8.120000000000028800e+16,3.720139513253720320e+17
2.308538360595699999e+02,4.532139513253722880e+17,7.136499267551872800e+16,3.818489586498535680e+17
2.369210205078130116e+02,4.532139513253722880e+17,5.650040399430671200e+16,3.967135473310656000e+17
2.429882354736330115e+02,4.484432734516659200e+17,4.473190259762052800e+16,4.037113708540453760e+17
2.475000000000000000e+02,3.753588575461931520e+17,3.760000000000005600e+16,3.377588575461930880e+17
2.490554199218750000e+02,3.530296472580906240e+17,3.635898990992828800e+16,3.166706573481623040e+17
2.551226196289059942e+02,3.339469014035341440e+17,3.189740256050470400e+16,3.020494988430294400e+17
2.611898193359380116e+02,2.146799545609088000e+17,2.798329361259403200e+16,1.866966609483147520e+17
2.666000000000000227e+02,2.146799545609088000e+17,2.489999999999990000e+16,1.897799545609088960e+17
2.672570495605469887e+02,2.146799545609088000e+17,2.459647058684498800e+16,1.900834839740638080e+17
2.733242187500000000e+02,2.146799545609088000e+17,2.196279520978203200e+16,1.927171593511267840e+17
2.793914184570310226e+02,2.051386159933690560e+17,1.961111033964095200e+16,1.855275056537280960e+17
2.854586181640630116e+02,1.431199410741584800e+17,1.751123411569537200e+16,1.256087069584631040e+17
2.858000000000000114e+02,1.425654238593054880e+17,1.740000000000006200e+16,1.251654238593054240e+17
2.915258178710939774e+02,1.335785853267482720e+17,1.616437043998870200e+16,1.174142148867595680e+17
2.975930175781250000e+02,1.335785595569440160e+17,1.495068262229574000e+16,1.186278769346482720e+17
3.027000000000000455e+02,1.214250183734789280e+17,1.400000000000000400e+16,1.074250183734789280e+17
3.036602172851560226e+02,1.192665774754367680e+17,1.388626389904620600e+16,1.053803135763905600e+17
3.097274169921880116e+02,9.064258754261825600e+16,1.318867346974127600e+16,7.745391407287697600e+16
3.157945861816410229e+02,9.064258754261825600e+16,1.252613044447994800e+16,7.811645709813830400e+16
3.189000000000000341e+02,8.716674567594196800e+16,1.220000000000000400e+16,7.496674567594196800e+16
3.218618164062500000e+02,7.633061405104516800e+16,1.192979226097890400e+16,6.440082179006626400e+16
3.279289855957030113e+02,4.293595483445652800e+16,1.139482322243648800e+16,3.154113161202004000e+16
3.338000000000000114e+02,4.293595483445652800e+16,1.089999999999996000e+16,3.203595483445656800e+16
